"Comment","Designator","Footprint","LCSC Part #"
"1n","C115,C116","C_0603_1608Metric","C1588"
"22n","C103,C104,C105,C106","C_0603_1608Metric","C106222"
"100n","C109,C112,C117,C118","C_0603_1608Metric","C1591"
"1µ","C101","C_0603_1608Metric","C108343"
"10µ","C102,C108,C111,C113,C114","C_1206_3216Metric","C329928"
"330µ","C107,C110","CP_Elec_10x10.5","C5162354"
"1N4448W","D104,D105","D_SOD-123","C5190208"
"SMAJ24CA","D101","D_SMA","C3001961"
"SMBJ5344B","D102","D_SMB","C2903883"
"SS210","D103","D_SMA","C14996"
"SUD50P06-15","Q101","TO-252-2","C141584"
"1R1","R102","R_1206_3216Metric","C168518"
"2k","R106,R107","R_0402_1005Metric","C4109"
"10k","R101,R103,R104,R105","R_0402_1005Metric","C319934"
"ACS712ELCTR-20A","U105,U106","SOIC-8_3.9x4.9mm_P1.27mm","C10681"
"AT24C256C-SSHL-T","U102","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"IFX9201SGAUMA1","U103,U104","CONV_IFX9201SGAUMA1","C112633"
