Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","1µ","C_0603_1608Metric",44.7500,16.2500,-90.0000,top
"C102","10µ","C_1206_3216Metric",16.7500,21.7500,0.0000,top
"C103","22n","C_0603_1608Metric",45.5000,29.7250,90.0000,top
"C104","22n","C_0603_1608Metric",45.5000,43.7500,90.0000,top
"C105","22n","C_0603_1608Metric",45.5000,24.7750,90.0000,top
"C106","22n","C_0603_1608Metric",45.5000,38.7500,90.0000,top
"C107","330µ","CP_Elec_10x10.5",27.2500,39.0000,90.0000,top
"C108","10µ","C_1206_3216Metric",45.0000,34.5250,90.0000,top
"C109","100n","C_0603_1608Metric",33.7500,33.0000,-90.0000,top
"C110","330µ","CP_Elec_10x10.5",27.2500,25.2500,90.0000,top
"C111","10µ","C_1206_3216Metric",44.7500,20.5000,90.0000,top
"C112","100n","C_0603_1608Metric",33.7500,21.2750,90.0000,top
"C113","10µ","C_1206_3216Metric",23.2500,5.2500,-90.0000,top
"C114","10µ","C_1206_3216Metric",19.7500,5.2250,-90.0000,top
"D101","SMAJ24CA","D_SMA",26.1000,14.7500,90.0000,top
"D102","SMBJ5344B","D_SMB",39.3500,17.0000,180.0000,top
"D103","SS210","D_SMA",42.7500,6.7500,180.0000,top
"Q101","SUD50P06-15","TO-252-2",31.8200,11.9600,-90.0000,top
"R101","10k","R_0402_1005Metric",37.6100,14.0000,0.0000,top
"R102","1R1","R_1206_3216Metric",43.2500,13.2500,180.0000,top
"R103","10k","R_0402_1005Metric",13.0100,45.7500,180.0000,top
"U102","AT24C256C-SSHL-T","SOIC-8_3.9x4.9mm_P1.27mm",16.8450,43.2750,90.0000,top
"U103","IFX9201SGAUMA1","CONV_IFX9201SGAUMA1",39.0000,27.0000,90.0000,top
"U104","IFX9201SGAUMA1","CONV_IFX9201SGAUMA1",39.0000,41.0000,90.0000,top
